date,temp,umid,solar,ws,wd,gust,gust_dir,prec,dewpoint,heat_index,wind_chill
2024-11-26 14:00:00,41.21764705882352,39.64705882352941,8.995294117647058,0.0,180.0,0.0,,6.9,24.788235294117644,50.64705882352941,41.21764705882352
2024-11-26 15:00:00,29.7,66.46666666666667,178.21933333333334,0.8116666666666668,104.01970765191186,6.7,,14.4,22.728333333333335,32.983333333333334,29.7
2024-11-26 16:00:00,26.278333333333332,75.96666666666667,206.86433333333335,1.2183333333333333,195.7214351879121,6.7,,0.0,21.736666666666668,26.456666666666667,26.278333333333332
2024-11-26 17:00:00,25.490000000000002,79.33333333333333,81.69666666666667,0.8766666666666667,160.92230388913097,5.6,,0.0,21.65666666666667,25.490000000000002,25.490000000000002
2024-11-26 18:00:00,24.5,85.18333333333334,18.868833333333335,0.19,183.46747089072122,2.2,,0.0,21.836666666666666,24.5,24.5
2024-11-26 19:00:00,23.353333333333335,89.48333333333333,0.0,0.09666666666666666,292.6827800876038,3.4,,0.0,21.55,23.353333333333335,23.353333333333335
2024-11-26 20:00:00,22.529999999999998,91.95,0.0,0.08499999999999999,175.513181918081,1.1,,0.0,21.17,22.529999999999998,22.529999999999998
2024-11-26 21:00:00,21.896666666666665,94.61666666666666,0.0,0.025,231.73333796662172,1.1,,0.0,21.021666666666665,21.896666666666665,21.896666666666665
2024-11-26 22:00:00,21.368333333333332,96.88333333333334,0.0,0.0,180.0,0.0,,0.0,20.85666666666667,21.368333333333332,21.368333333333332
2024-11-26 23:00:00,21.276666666666667,97.85,0.0,0.0,180.0,0.0,,0.0,20.946666666666665,21.276666666666667,21.276666666666667
2024-11-27 00:00:00,21.82,98.0,0.0,0.0,180.0,0.0,,0.0,21.52,21.82,21.82
2024-11-27 01:00:00,21.773333333333333,98.0,0.0,0.0,180.0,0.0,,0.0,21.473333333333336,21.773333333333333,21.773333333333333
2024-11-27 02:00:00,21.561666666666667,98.0,0.0,0.0,180.0,0.0,,0.0,21.261666666666667,21.561666666666667,21.561666666666667
2024-11-27 03:00:00,21.128333333333334,98.03333333333333,0.0,0.0,180.0,0.0,,0.0,20.834999999999997,21.128333333333334,21.128333333333334
2024-11-27 04:00:00,20.998333333333335,98.53333333333333,0.0,0.0,180.0,0.0,,0.0,20.805,20.998333333333335,20.998333333333335
2024-11-27 05:00:00,21.421666666666667,99.0,8.394499999999999,0.0,180.0,0.0,,0.0,21.321666666666665,21.421666666666667,21.421666666666667
2024-11-27 06:00:00,22.28666666666667,98.53333333333333,49.5785,0.0016666666666666668,232.0,1.1,,0.0,22.098333333333336,22.28666666666667,22.28666666666667
2024-11-27 07:00:00,24.091666666666665,89.55,141.29233333333335,0.02333333333333333,232.0,1.1,,0.0,22.285,24.091666666666665,24.091666666666665
2024-11-27 08:00:00,25.10666666666667,84.98333333333333,226.74233333333333,0.24166666666666667,273.8663439464396,2.2,,0.0,22.403333333333332,25.10666666666667,25.10666666666667
2024-11-27 09:00:00,27.884999999999998,75.98333333333333,793.5948333333333,0.8416666666666667,291.19006745902743,3.4,,0.0,23.265,30.48166666666667,27.884999999999998
2024-11-27 10:00:00,29.833333333333332,71.51666666666667,917.2099999999999,0.855,116.02079327955518,3.4,,0.0,24.14,34.56666666666667,29.833333333333332
2024-11-27 11:00:00,31.516666666666666,66.06666666666666,846.4155,1.2783333333333333,229.1874089417499,5.6,,0.0,24.428333333333335,37.21666666666667,31.516666666666666
2024-11-27 12:00:00,31.19,70.13333333333334,458.62100000000004,0.8,135.40735819573683,4.5,,0.0,25.073333333333334,37.583333333333336,31.19
2024-11-27 13:00:00,27.933333333333334,84.63333333333334,124.991,0.36333333333333334,203.1608701548565,2.2,,3.3,25.06,31.01833333333333,27.933333333333334
2024-11-27 14:00:00,26.663333333333334,90.76666666666667,218.19466666666668,0.575,127.6092033710986,3.4,,0.9000000000000004,25.05,27.93,26.663333333333334
2024-11-27 15:00:00,28.971666666666668,81.01666666666667,474.62600000000003,0.6316666666666666,173.99705539824657,3.4,,0.0,25.403333333333332,34.38333333333333,28.971666666666668
2024-11-27 16:00:00,27.016666666666666,88.3,66.15716666666667,0.47,33.133409413193334,2.2,,0.0,24.93,29.211666666666666,27.016666666666666
