station,month,n
ceasa,2022-06,6672
ceasa,2022-07,6725
ceasa,2022-08,6490
ceasa,2022-09,6131
ceasa,2022-10,5656
ceasa,2022-11,6898
ceasa,2022-12,5388
ceasa,2023-01,6968
ceasa,2023-02,5267
ceasa,2023-03,5617
ceasa,2023-04,4416
ceasa,2023-05,4248
ceasa,2023-06,3825
ceasa,2023-07,3133
ceasa,2023-08,3922
ceasa,2023-09,4626
ceasa,2023-10,3200
ceasa,2023-11,4884
ceasa,2023-12,5456
ceasa,2024-01,4127
ceasa,2024-02,3062
ceasa,2024-03,3715
ceasa,2024-04,4219
ceasa,2024-05,4515
ceasa,2024-06,4956
ceasa,2024-07,4334
ceasa,2024-08,5803
ceasa,2024-09,5436
ceasa,2024-10,6490
ceasa,2024-11,6867
ceasa,2024-12,7638
ceasa,2025-01,8780
ceasa,2025-02,8010
ceasa,2025-03,8928
ceasa,2025-04,8150
ceasa,2025-05,7681
ceasa,2025-06,5297
ceasa,2025-07,5305
ceasa,2025-08,5267
ceasa,2025-09,5357
ceasa,2025-10,5615
ceasa,2025-11,6637
ceasa,2025-12,8203
ceasa,2026-01,8884
ceasa,2026-02,7923
ceasa,2026-03,8266
ceasa,2026-04,6770
ceasa,2026-05,4621
ceasa,2026-06,4174
ceasa,2026-07,1620
cubatao,2012-04,3574
cubatao,2012-05,8928
cubatao,2012-06,8307
cubatao,2012-07,8926
cubatao,2012-08,8927
cubatao,2012-09,8595
cubatao,2012-10,8805
cubatao,2012-11,8620
cubatao,2012-12,8676
cubatao,2013-01,8534
cubatao,2013-02,7316
cubatao,2013-03,6934
cubatao,2013-04,8186
cubatao,2013-05,8357
cubatao,2013-06,8482
cubatao,2013-07,8131
cubatao,2013-08,8708
cubatao,2013-09,7403
cubatao,2013-10,6833
cubatao,2013-11,6552
cubatao,2013-12,5688
cubatao,2014-01,4355
cubatao,2014-02,5572
cubatao,2014-03,2201
cubatao,2014-04,2335
cubatao,2014-05,5338
cubatao,2014-06,4378
cubatao,2014-07,4998
cubatao,2014-08,6187
cubatao,2014-09,7026
cubatao,2014-10,4157
cubatao,2014-11,2119
cubatao,2014-12,3190
cubatao,2015-01,3053
cubatao,2015-02,1552
cubatao,2015-03,2978
cubatao,2015-04,2118
cubatao,2015-05,2345
cubatao,2015-06,3626
cubatao,2015-07,4047
cubatao,2015-08,4400
cubatao,2015-09,5705
cubatao,2015-10,2572
cubatao,2015-11,3749
cubatao,2015-12,995
cubatao,2016-01,2375
cubatao,2016-02,1061
cubatao,2016-04,695
cubatao,2016-05,5297
cubatao,2016-06,7010
cubatao,2016-07,6453
cubatao,2016-08,6636
cubatao,2016-09,6328
cubatao,2016-10,6087
cubatao,2016-11,6911
cubatao,2016-12,4267
cubatao,2017-01,4690
cubatao,2017-03,2918
cubatao,2017-04,1978
cubatao,2017-05,4089
cubatao,2017-06,5024
cubatao,2017-07,6746
cubatao,2017-08,7743
cubatao,2017-09,6020
cubatao,2017-10,5543
cubatao,2017-11,7102
cubatao,2017-12,8928
cubatao,2018-01,8917
cubatao,2018-02,174
cubatao,2018-04,3807
cubatao,2018-05,8927
cubatao,2018-06,8184
cubatao,2018-07,8928
cubatao,2018-08,8898
cubatao,2018-09,8612
cubatao,2018-10,8196
cubatao,2018-11,1251
cubatao,2018-12,8924
cubatao,2019-01,8923
cubatao,2019-02,2385
cubatao,2019-03,1800
cubatao,2019-04,7556
cubatao,2019-05,442
cubatao,2019-06,7031
cubatao,2019-07,8924
cubatao,2019-08,8927
cubatao,2019-09,8640
cubatao,2019-10,2162
cubatao,2019-12,5811
cubatao,2020-01,8928
cubatao,2020-02,1528
cubatao,2020-04,7145
cubatao,2020-05,8636
cubatao,2020-06,1150
cubatao,2020-07,6435
cubatao,2020-08,8928
cubatao,2020-09,8640
cubatao,2020-10,150
cubatao,2021-08,3455
cubatao,2021-09,8640
cubatao,2021-10,8927
cubatao,2021-11,8640
cubatao,2021-12,8928
cubatao,2022-01,8928
cubatao,2022-02,8063
cubatao,2022-03,8928
cubatao,2022-04,8640
cubatao,2022-05,8928
cubatao,2022-06,8640
cubatao,2022-07,8928
cubatao,2022-08,8928
cubatao,2022-09,8640
cubatao,2022-10,8080
cubatao,2023-02,5517
cubatao,2023-03,8928
cubatao,2023-04,8639
cubatao,2023-05,8927
cubatao,2023-06,8640
cubatao,2023-07,8928
cubatao,2023-08,4147
divobras,2021-08,3456
divobras,2021-09,8640
divobras,2021-10,8928
divobras,2021-11,8640
divobras,2021-12,8928
divobras,2022-01,8927
divobras,2022-02,8062
divobras,2022-03,8926
divobras,2022-04,8640
divobras,2022-05,8928
divobras,2022-06,8638
divobras,2022-07,8928
divobras,2022-08,8928
divobras,2022-09,8640
divobras,2022-10,8928
divobras,2022-11,8640
divobras,2022-12,8928
divobras,2023-01,8928
divobras,2023-02,8064
divobras,2023-03,8928
divobras,2023-04,8639
divobras,2023-05,8928
divobras,2023-06,8640
divobras,2023-07,8928
divobras,2023-08,8927
divobras,2023-09,8640
divobras,2023-10,8928
divobras,2023-11,8638
divobras,2023-12,8928
divobras,2024-01,8928
divobras,2024-02,8352
divobras,2024-03,8927
divobras,2024-04,8640
divobras,2024-05,8927
divobras,2024-06,8639
divobras,2024-07,8928
divobras,2024-08,6160
divobras,2024-11,7717
divobras,2024-12,8922
divobras,2025-01,854
divobras,2025-02,843
divobras,2025-03,1202
divobras,2025-04,746
divobras,2025-05,783
divobras,2025-08,8788
divobras,2025-09,8638
divobras,2025-10,8927
divobras,2025-11,8639
divobras,2025-12,8926
divobras,2026-01,8915
divobras,2026-02,8063
divobras,2026-03,8928
divobras,2026-04,8640
divobras,2026-05,8925
divobras,2026-06,8635
divobras,2026-07,2785
flotflux,2012-04,3657
flotflux,2012-05,8928
flotflux,2012-06,8640
flotflux,2012-07,8928
flotflux,2012-08,8928
flotflux,2012-09,8640
flotflux,2012-10,8863
flotflux,2012-11,8640
flotflux,2012-12,8928
flotflux,2013-01,8928
flotflux,2013-02,8064
flotflux,2013-03,8928
flotflux,2013-04,8640
flotflux,2013-05,8928
flotflux,2013-06,8640
flotflux,2013-07,8927
flotflux,2013-08,8919
flotflux,2013-09,2645
flotflux,2014-06,137
flotflux,2014-07,8926
flotflux,2014-08,8928
flotflux,2014-09,8640
flotflux,2014-10,8916
flotflux,2014-11,8640
flotflux,2014-12,8928
flotflux,2015-01,7635
flotflux,2015-06,8135
flotflux,2015-07,8928
flotflux,2015-08,8928
flotflux,2015-09,8640
flotflux,2015-10,8916
flotflux,2015-11,8637
flotflux,2015-12,8924
flotflux,2016-01,8925
flotflux,2016-02,7573
flotflux,2016-03,8928
flotflux,2016-04,8640
flotflux,2016-05,8928
flotflux,2016-06,8640
flotflux,2016-07,8928
flotflux,2016-08,8832
flotflux,2016-09,8640
flotflux,2016-10,8916
flotflux,2016-11,8640
flotflux,2016-12,8928
flotflux,2017-01,8928
flotflux,2017-02,8064
flotflux,2017-03,8928
flotflux,2017-04,8640
flotflux,2017-05,7583
flotflux,2017-06,8640
flotflux,2017-07,8928
flotflux,2017-08,8926
flotflux,2017-09,8639
flotflux,2017-10,8916
flotflux,2017-11,8640
flotflux,2017-12,8928
flotflux,2018-01,7083
flotflux,2018-04,4284
flotflux,2018-05,8928
flotflux,2018-06,7790
flotflux,2018-07,8928
flotflux,2018-08,8891
flotflux,2018-09,8140
flotflux,2018-10,8928
flotflux,2018-11,8628
flotflux,2018-12,8928
flotflux,2019-01,8927
flotflux,2019-02,8064
flotflux,2019-03,7359
flotflux,2019-04,8640
flotflux,2019-05,8928
flotflux,2019-06,8640
flotflux,2019-07,8928
flotflux,2019-08,8928
flotflux,2019-09,8640
