date,temp_max,temp_min,umid_max,umid_min,solar_total,gust_max,prec,dewpoint,heat_index,wind_chill,n_hours,temp_mean,umid_mean,ws_mean,solar_mean,gust_dir,level_max,level_min
2024-11-26,41.4,21.1,98.0,37.0,494.64446078431376,6.7,21.3,21.600718132854578,51.0,21.1,10,25.76109803921569,81.73803921568627,0.3303333333333333,49.46444607843138,,,
2024-11-27,33.4,20.8,99.0,59.0,4402.5008333333335,5.6,6.0,23.44777777777778,42.0,20.8,24,25.327430555555555,89.98402777777778,0.28270833333333334,183.43753472222224,,,
2024-11-28,27.0,22.1,99.0,80.0,1482.5465,3.4,34.2,23.24604166666667,30.0,22.1,24,23.74611111111111,96.84513888888888,0.10076388888888889,61.77277083333333,,,
2024-11-29,28.0,22.4,99.0,76.0,2124.8065,4.5,2.7,22.589861111111112,31.0,22.4,24,23.836250000000003,92.86180555555556,0.19111111111111112,88.53360416666668,,,
2024-11-30,30.2,22.0,99.0,68.0,3290.031,10.1,6.9,22.659166666666668,36.0,22.0,24,24.242569444444445,91.22222222222223,0.3844444444444444,137.084625,,,
2024-12-01,28.3,21.2,99.0,71.0,3006.1433333333334,5.6,3.3,22.114444444444445,32.0,21.2,24,23.82604166666667,90.34722222222223,0.3670138888888889,125.25597222222223,,,
2024-12-02,32.0,20.7,99.0,60.0,3520.6756666666665,7.8,2.4,22.827222222222222,41.0,20.7,24,25.155555555555555,87.54583333333333,0.4955555555555556,146.69481944444445,,,
2024-12-03,22.8,19.9,99.0,85.0,1297.8501666666666,3.4,9.0,20.17486111111111,22.8,19.9,24,20.746180555555554,96.38125000000001,0.06930555555555555,54.07709027777778,,,
2024-12-04,20.9,18.1,99.0,90.0,960.6496666666667,3.4,10.2,18.76138888888889,20.9,18.1,24,19.10875,97.6375,0.09076388888888888,40.02706944444444,,,
2024-12-05,28.5,18.1,99.0,61.0,4598.690333333333,5.6,0.3,19.894513888888888,31.0,18.1,24,22.55388888888889,85.75486111111111,0.4671527777777778,191.61209722222222,,,
2024-12-06,33.8,20.6,99.0,60.0,6139.395166666666,6.7,4.5,23.365625,44.0,20.6,24,25.916597222222222,86.9826388888889,0.42194444444444446,255.80813194444443,,,
2024-12-07,24.5,20.4,99.0,94.0,716.6525,7.8,182.1,22.292708333333334,24.5,20.4,24,22.51965277777778,98.33611111111111,0.16819444444444442,29.860520833333336,,,
2024-12-08,22.0,18.3,99.0,93.0,1060.8923333333332,4.5,53.4,19.779097222222223,22.0,18.3,24,20.01423611111111,98.26597222222222,0.13506944444444444,44.203847222222215,,,
2024-12-09,20.6,17.8,99.0,94.0,1283.4421666666667,5.6,84.0,18.64784722222222,20.6,17.8,24,18.833541666666665,98.54583333333333,0.2732638888888889,53.476756944444446,,,
2024-12-10,26.7,18.5,99.0,73.0,2845.124333333333,7.8,21.3,20.183333333333334,26.7,18.5,24,21.301041666666666,93.49097222222223,0.3296527777777778,118.54684722222221,,,
2024-12-11,23.4,18.1,99.0,86.0,2169.7993333333334,5.6,24.3,19.683680555555554,23.4,18.1,24,20.122986111111114,97.11527777777779,0.11041666666666666,90.40830555555556,,,
2024-12-12,29.4,18.8,99.0,49.0,6459.784214285714,5.6,0.0,19.565369261477045,32.0,18.8,17,23.47812324929972,80.84943977591035,0.5761904761904763,379.9873067226891,,,
2025-01-01,32.5,20.6,99.0,60.0,5356.308,6.7,16.2,22.263472222222223,40.0,20.6,24,25.008958333333336,85.8875,0.47833333333333333,223.1795,,,
2025-01-02,33.7,18.9,99.0,55.0,4837.3875,14.6,26.1,21.472430555555555,42.0,18.9,24,23.521944444444443,89.46875,0.31173611111111116,201.55781249999998,,,
2025-01-03,37.0,19.7,99.0,43.0,7077.0725,7.8,6.9,23.04513888888889,52.0,19.7,24,26.79847222222222,82.47083333333333,0.32375,294.8780208333333,,,
2025-01-04,31.5,21.2,98.0,62.0,4998.345833333334,9.0,3.3,22.7575,39.0,21.2,24,25.352222222222224,86.38263888888889,0.5145138888888888,208.26440972222224,,,
2025-01-05,29.3,20.7,99.0,60.0,3940.1818333333335,5.6,13.8,21.159305555555555,34.0,20.7,24,23.24597222222222,88.78263888888888,0.2675,164.17424305555556,,,
2025-01-06,27.9,20.2,99.0,63.0,3023.7213333333334,4.5,2.7,20.833541666666665,30.0,20.2,24,22.799027777777777,89.21388888888889,0.165625,125.98838888888889,,,
2025-01-07,23.6,20.8,99.0,85.0,1612.9638333333335,3.4,12.3,21.122083333333332,23.6,20.8,24,21.793194444444442,95.80694444444445,0.04881944444444444,67.2068263888889,,,
2025-01-08,27.9,20.1,99.0,62.0,3716.3105,6.7,24.3,21.123680555555556,30.0,20.1,24,22.60020833333333,91.81319444444445,0.26222222222222225,154.84627083333334,,,
2025-01-09,28.5,20.0,99.0,63.0,2885.1313333333333,5.6,3.9,21.056805555555556,31.0,20.0,24,22.137013888888887,93.83680555555556,0.15770833333333334,120.21380555555555,,,
2025-01-10,28.6,19.9,99.0,61.0,4495.858166666667,6.7,6.6,20.72,32.0,19.9,24,23.058888888888887,87.54444444444444,0.2736111111111111,187.32742361111113,,,
2025-01-11,26.8,18.6,99.0,72.0,2641.2843333333335,5.6,11.1,20.499305555555555,29.0,18.6,24,21.608819444444446,93.51875,0.30215277777777777,110.0535138888889,,,
