"TOA5","CEASA","CR3000","ÿ1677721255.008","CR3000.Std.32.05","CPU:CEASA_V6.CR3","20755","CEASA_DIARIA"
"TIMESTAMP","RECORD","Temp_Ar_Max","Temp_Ar_TMx","Temp_Ar_Min","Temp_Ar_TMn","Umid_Rel_Max","Umid_Rel_TMx","Umid_Rel_Min","Umid_Rel_TMn","Rad_Total_Tot","Rajada","Dir_Rajada","Chuva_Tot","Orvalho","Ind_Calor","WindChill"
"TS","RN","Deg C","","Deg C","","%","","%","","MJ/m^2","KM/h","Degrees","mm","","",""
"","","Max","TMx","Min","TMn","Max","TMx","Min","TMn","Tot","Max","SMM","Tot","Smp","Smp","Smp"
"2026-06-14 00:00:00",1199,-100,"2026-06-14 00:00:00",-100,"2026-06-14 00:00:00",-100,"2026-06-14 00:00:00",-100,"2026-06-14 00:00:00",0,14.4,NAN,0,-100,-100,-144.9
"2026-07-02 00:00:00",1200,-100,"2026-07-01 07:59:30",-100,"2026-07-01 07:59:30",-100,"2026-07-01 07:59:30",-100,"2026-07-01 07:59:30",1367,14.4,NAN,0,-100,-100,-137.2
"2026-07-20 00:00:00",1201,-100,"2026-07-19 07:57:00",-100,"2026-07-19 07:57:00",-100,"2026-07-19 07:57:00",-100,"2026-07-19 07:57:00",1696,24.55,328,0,-100,-100,-122.5
"2026-07-21 00:00:00",1202,-100,"2026-07-20 07:57:30",-100,"2026-07-20 07:57:30",-100,"2026-07-20 07:57:30",-100,"2026-07-20 07:57:30",1559,13.07,123,0,-100,-100,-122.5
"2026-07-22 00:00:00",1203,-100,"2026-07-21 07:57:00",-100,"2026-07-21 07:57:00",-100,"2026-07-21 07:57:00",-100,"2026-07-21 07:57:00",1099,14.58,121,0,-100,-100,-133.3
"2026-07-29 00:00:00",1204,-100,"2026-07-28 08:59:30",-100,"2026-07-28 08:59:30",-100,"2026-07-28 08:59:30",-100,"2026-07-28 08:59:30",1642,14.4,NAN,0,-100,-100,-144.9
"2026-09-04 00:00:00",1205,-100,"2026-09-03 07:16:00",-100,"2026-09-03 07:16:00",-100,"2026-09-03 07:16:00",-100,"2026-09-03 07:16:00",3114,14.4,NAN,0,-100,-100,-144.9
