id,name,area_km2,coverage_pct,rain_total_mm,rain_peak_mm_h,temp_mean_degC,temp_min_degC,temp_max_degC,wind_mean_ms,wind_max_ms,wind_dir_deg,rh2_mean_pct,run_time_utc,window_local,source
2,Bacia Hidrográfica do Palmital,343.86,100.0,15.631,1.621,17.1,15.9,18.3,8.61,11.76,177,84.5,2026-09-13 00:00:00,2026-09-12 22:00 .. 2026-09-15 21:00,CPTEC/INPE WRF AMS 7km
3,Bacias independentes da vertente leste,135.57,100.0,14.122,1.596,17.1,16.2,18.2,9.1,12.26,179,85.9,2026-09-13 00:00:00,2026-09-12 22:00 .. 2026-09-15 21:00,CPTEC/INPE WRF AMS 7km
1,Bacia Hidrográfica do Cubatão (sub-bacia),489.72,100.0,13.054,1.476,16.4,14.7,19.1,6.65,9.09,181,84.7,2026-09-13 00:00:00,2026-09-12 22:00 .. 2026-09-15 21:00,CPTEC/INPE WRF AMS 7km
5,Bacia Hidrográfica da vertente sul,79.06,100.0,10.104,1.698,17.0,16.0,18.2,9.07,11.75,178,85.0,2026-09-13 00:00:00,2026-09-12 22:00 .. 2026-09-15 21:00,CPTEC/INPE WRF AMS 7km
4,Bacia Hidrográfica do Rio Cachoeira,74.11,100.0,9.72,1.692,16.9,15.9,18.2,8.82,11.61,178,84.3,2026-09-13 00:00:00,2026-09-12 22:00 .. 2026-09-15 21:00,CPTEC/INPE WRF AMS 7km
6,Bacia Hidrográfica do Piraí,578.87,100.0,8.305,1.666,16.6,15.4,18.1,7.99,10.87,179,84.2,2026-09-13 00:00:00,2026-09-12 22:00 .. 2026-09-15 21:00,CPTEC/INPE WRF AMS 7km
7,Bacia Hidrográfica do Itapocuzinho,390.36,100.0,7.874,1.258,15.2,12.5,20.8,3.67,5.91,188,85.7,2026-09-13 00:00:00,2026-09-12 22:00 .. 2026-09-15 21:00,CPTEC/INPE WRF AMS 7km
