basin,id,valid_time_local,lead_h,precip_mm_h,accum_mm,t2m_degC,wspd_ms
Bacia Hidrográfica do Itapocuzinho,7,2026-08-15 15:00,42,0.025,34.389,19.85,3.36
Bacia Hidrográfica do Itapocuzinho,7,2026-08-15 16:00,43,0.028,34.417,19.32,3.77
Bacia Hidrográfica do Itapocuzinho,7,2026-08-15 17:00,44,0.026,34.443,18.37,4.08
Bacia Hidrográfica do Itapocuzinho,7,2026-08-15 18:00,45,0.014,34.457,17.45,3.35
Bacia Hidrográfica do Itapocuzinho,7,2026-08-15 19:00,46,0.033,34.49,17.13,3.26
Bacia Hidrográfica do Itapocuzinho,7,2026-08-15 20:00,47,0.046,34.536,16.94,3.55
Bacia Hidrográfica do Itapocuzinho,7,2026-08-15 21:00,48,0.036,34.572,16.98,3.92
Bacia Hidrográfica do Itapocuzinho,7,2026-08-15 22:00,49,0.055,34.627,17.05,4.24
Bacia Hidrográfica do Itapocuzinho,7,2026-08-15 23:00,50,0.047,34.674,17.11,4.67
Bacia Hidrográfica do Itapocuzinho,7,2026-08-16 00:00,51,0.054,34.728,17.17,4.52
Bacia Hidrográfica do Itapocuzinho,7,2026-08-16 01:00,52,0.037,34.765,17.19,4.39
Bacia Hidrográfica do Itapocuzinho,7,2026-08-16 02:00,53,0.021,34.786,17.1,4.21
Bacia Hidrográfica do Itapocuzinho,7,2026-08-16 03:00,54,0.029,34.815,16.94,3.64
Bacia Hidrográfica do Itapocuzinho,7,2026-08-16 04:00,55,0.039,34.854,16.84,3.43
Bacia Hidrográfica do Itapocuzinho,7,2026-08-16 05:00,56,0.025,34.879,16.77,3.83
Bacia Hidrográfica do Itapocuzinho,7,2026-08-16 06:00,57,0.015,34.894,16.68,3.63
Bacia Hidrográfica do Itapocuzinho,7,2026-08-16 07:00,58,0.015,34.909,16.65,3.6
Bacia Hidrográfica do Itapocuzinho,7,2026-08-16 08:00,59,0.049,34.958,17.37,6.0
Bacia Hidrográfica do Itapocuzinho,7,2026-08-16 09:00,60,0.052,35.01,18.93,6.37
Bacia Hidrográfica do Itapocuzinho,7,2026-08-16 10:00,61,0.063,35.073,20.4,5.38
Bacia Hidrográfica do Itapocuzinho,7,2026-08-16 11:00,62,0.02,35.093,21.6,5.26
Bacia Hidrográfica do Itapocuzinho,7,2026-08-16 12:00,63,0.013,35.106,22.27,4.81
Bacia Hidrográfica do Itapocuzinho,7,2026-08-16 13:00,64,0.016,35.122,22.57,4.91
Bacia Hidrográfica do Itapocuzinho,7,2026-08-16 14:00,65,0.007,35.129,22.55,4.98
Bacia Hidrográfica do Itapocuzinho,7,2026-08-16 15:00,66,0.003,35.132,22.58,4.59
Bacia Hidrográfica do Itapocuzinho,7,2026-08-16 16:00,67,0.005,35.137,21.5,5.25
Bacia Hidrográfica do Itapocuzinho,7,2026-08-16 17:00,68,0.005,35.142,19.58,4.88
Bacia Hidrográfica do Itapocuzinho,7,2026-08-16 18:00,69,0.025,35.167,18.44,3.89
Bacia Hidrográfica do Itapocuzinho,7,2026-08-16 19:00,70,0.098,35.265,17.86,3.43
Bacia Hidrográfica do Itapocuzinho,7,2026-08-16 20:00,71,0.134,35.399,17.62,3.33
Bacia Hidrográfica do Itapocuzinho,7,2026-08-16 21:00,72,0.105,35.504,17.5,3.1
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-13 22:00,1,0.011,0.011,16.22,1.89
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-13 23:00,2,0.072,0.083,15.87,1.47
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-14 00:00,3,0.087,0.17,15.62,1.13
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-14 01:00,4,0.077,0.247,15.43,1.33
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-14 02:00,5,0.119,0.366,15.37,1.32
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-14 03:00,6,0.145,0.511,15.23,1.01
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-14 04:00,7,0.097,0.608,15.17,1.3
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-14 05:00,8,0.096,0.704,15.09,1.07
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-14 06:00,9,0.338,1.042,15.04,1.04
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-14 07:00,10,0.362,1.404,14.95,1.93
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-14 08:00,11,0.903,2.307,15.05,1.29
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-14 09:00,12,2.309,4.616,15.4,0.68
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-14 10:00,13,2.171,6.787,15.78,0.64
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-14 11:00,14,0.886,7.673,16.53,1.01
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-14 12:00,15,1.578,9.251,16.76,1.96
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-14 13:00,16,3.0,12.251,16.26,1.56
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-14 14:00,17,0.17,12.421,17.33,1.45
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-14 15:00,18,0.162,12.583,17.16,2.1
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-14 16:00,19,0.801,13.384,16.46,2.6
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-14 17:00,20,1.774,15.158,15.91,2.84
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-14 18:00,21,0.337,15.495,15.61,2.4
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-14 19:00,22,0.666,16.161,15.49,2.04
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-14 20:00,23,0.143,16.304,15.44,2.41
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-14 21:00,24,0.093,16.397,15.33,1.83
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-14 22:00,25,0.121,16.518,15.23,1.8
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-14 23:00,26,0.108,16.626,15.14,1.32
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-15 00:00,27,0.154,16.78,15.12,1.16
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-15 01:00,28,0.145,16.925,15.13,1.06
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-15 02:00,29,0.12,17.045,15.13,0.59
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-15 03:00,30,0.87,17.915,15.09,0.24
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-15 04:00,31,0.226,18.141,15.12,0.71
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-15 05:00,32,0.902,19.043,15.14,0.31
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-15 06:00,33,1.774,20.817,15.13,0.18
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-15 07:00,34,2.989,23.806,15.15,1.21
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-15 08:00,35,2.619,26.425,15.68,1.02
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-15 09:00,36,2.367,28.792,16.36,1.57
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-15 10:00,37,2.905,31.697,16.7,1.58
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-15 11:00,38,2.617,34.314,17.31,1.6
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-15 12:00,39,1.27,35.584,18.74,2.05
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-15 13:00,40,0.245,35.829,19.71,2.48
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-15 14:00,41,0.042,35.871,19.63,2.96
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-15 15:00,42,0.04,35.911,19.27,3.69
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-15 16:00,43,0.033,35.944,18.9,3.93
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-15 17:00,44,0.031,35.975,17.59,3.98
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-15 18:00,45,0.03,36.005,16.99,3.35
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-15 19:00,46,0.077,36.082,16.62,3.57
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-15 20:00,47,0.094,36.176,16.41,4.1
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-15 21:00,48,0.129,36.305,16.48,4.66
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-15 22:00,49,0.142,36.447,16.61,4.82
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-15 23:00,50,0.176,36.623,16.68,5.17
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-16 00:00,51,0.189,36.812,16.72,5.07
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-16 01:00,52,0.134,36.946,16.68,5.23
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-16 02:00,53,0.09,37.036,16.6,5.09
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-16 03:00,54,0.067,37.103,16.49,4.99
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-16 04:00,55,0.072,37.175,16.4,4.9
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-16 05:00,56,0.061,37.236,16.32,5.04
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-16 06:00,57,0.042,37.278,16.25,4.89
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-16 07:00,58,0.041,37.319,16.25,4.57
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-16 08:00,59,0.062,37.381,16.64,5.63
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-16 09:00,60,0.046,37.427,17.53,7.17
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-16 10:00,61,0.039,37.466,19.46,5.9
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-16 11:00,62,0.044,37.51,20.64,5.83
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-16 12:00,63,0.016,37.526,21.23,5.05
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-16 13:00,64,0.009,37.535,21.74,4.79
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-16 14:00,65,0.016,37.551,21.7,4.8
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-16 15:00,66,0.008,37.559,21.69,4.41
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-16 16:00,67,0.007,37.566,20.32,4.82
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-16 17:00,68,0.006,37.572,18.86,4.38
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-16 18:00,69,0.038,37.61,17.85,3.8
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-16 19:00,70,0.117,37.727,17.41,3.63
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-16 20:00,71,0.135,37.862,17.2,3.52
Bacia Hidrográfica do Cubatão (sub-bacia),1,2026-08-16 21:00,72,0.118,37.98,17.08,3.47
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-13 22:00,1,0.0,0.0,17.49,0.91
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-13 23:00,2,0.009,0.009,17.36,0.49
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-14 00:00,3,0.027,0.036,17.31,0.37
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-14 01:00,4,0.074,0.11,17.28,0.86
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-14 02:00,5,0.694,0.804,17.3,1.44
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-14 03:00,6,0.19,0.994,17.1,0.79
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-14 04:00,7,0.073,1.067,17.06,0.5
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-14 05:00,8,0.138,1.205,17.04,0.5
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-14 06:00,9,0.334,1.539,17.09,1.11
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-14 07:00,10,1.889,3.428,17.13,1.7
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-14 08:00,11,3.302,6.73,17.48,0.93
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-14 09:00,12,3.081,9.811,18.07,0.68
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-14 10:00,13,1.765,11.576,18.68,1.02
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-14 11:00,14,0.391,11.967,19.16,0.86
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-14 12:00,15,0.749,12.716,19.36,1.6
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-14 13:00,16,0.463,13.179,19.41,0.72
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-14 14:00,17,0.008,13.187,19.78,0.91
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-14 15:00,18,0.01,13.197,19.87,1.27
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-14 16:00,19,0.071,13.268,19.45,1.99
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-14 17:00,20,0.43,13.698,18.66,2.39
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-14 18:00,21,0.79,14.488,18.06,2.07
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-14 19:00,22,1.066,15.554,17.86,1.83
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-14 20:00,23,0.691,16.245,17.88,1.62
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-14 21:00,24,1.184,17.429,17.82,0.75
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-14 22:00,25,0.115,17.544,17.72,1.0
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-14 23:00,26,0.119,17.663,17.67,0.51
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-15 00:00,27,0.136,17.799,17.7,0.29
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-15 01:00,28,0.068,17.867,17.75,0.5
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-15 02:00,29,0.063,17.93,17.73,0.41
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-15 03:00,30,0.917,18.847,17.76,1.29
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-15 04:00,31,1.488,20.335,17.78,0.64
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-15 05:00,32,1.47,21.805,17.84,0.26
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-15 06:00,33,1.719,23.524,17.88,0.77
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-15 07:00,34,0.622,24.146,17.87,0.04
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-15 08:00,35,0.78,24.926,18.15,0.72
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-15 09:00,36,1.53,26.456,18.55,0.77
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-15 10:00,37,2.972,29.428,18.71,0.56
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-15 11:00,38,2.708,32.136,19.29,0.42
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-15 12:00,39,0.245,32.381,20.92,1.38
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-15 13:00,40,0.063,32.444,21.57,2.02
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-15 14:00,41,0.011,32.455,21.7,2.45
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-15 15:00,42,0.035,32.49,21.3,2.98
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-15 16:00,43,0.064,32.554,20.68,3.15
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-15 17:00,44,0.043,32.597,20.16,2.69
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-15 18:00,45,0.014,32.611,19.56,2.73
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-15 19:00,46,0.005,32.616,19.06,2.94
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-15 20:00,47,0.048,32.664,19.03,3.95
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-15 21:00,48,0.172,32.836,19.06,3.56
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-15 22:00,49,0.209,33.045,19.1,3.95
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-15 23:00,50,0.425,33.47,19.04,4.39
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-16 00:00,51,0.446,33.916,19.09,4.71
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-16 01:00,52,0.264,34.18,19.03,4.68
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-16 02:00,53,0.088,34.268,18.94,4.29
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-16 03:00,54,0.008,34.276,18.84,4.16
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-16 04:00,55,0.002,34.278,18.76,3.92
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-16 05:00,56,0.003,34.281,18.75,3.69
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-16 06:00,57,0.0,34.281,18.71,3.35
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-16 07:00,58,0.006,34.287,18.79,3.24
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-16 08:00,59,0.043,34.33,19.35,5.24
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-16 09:00,60,0.073,34.403,20.45,6.2
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-16 10:00,61,0.149,34.552,21.11,5.83
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-16 11:00,62,0.221,34.773,21.56,5.62
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-16 12:00,63,0.141,34.914,21.8,4.7
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-16 13:00,64,0.133,35.047,22.11,4.37
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-16 14:00,65,0.09,35.137,22.15,4.08
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-16 15:00,66,0.052,35.189,22.15,3.98
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-16 16:00,67,0.047,35.236,21.59,4.41
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-16 17:00,68,0.005,35.241,21.17,4.42
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-16 18:00,69,0.012,35.253,20.2,3.85
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-16 19:00,70,0.039,35.292,19.6,3.13
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-16 20:00,71,0.078,35.37,19.39,3.0
Bacia Hidrográfica do Rio Cachoeira,4,2026-08-16 21:00,72,0.095,35.465,19.28,3.0
