date,temp_max,temp_min,umid_max,umid_min,solar_total,gust_max,gust_dir,prec,dewpoint,heat_index,wind_chill,n_hours,temp_mean,umid_mean,ws_mean,solar_mean
2011-05-18,21.34,10.16,100.0,53.04,,,,,,,,,,,,
2011-05-19,21.39,9.96,100.0,58.58,,,,,,,,,,,,
2011-05-20,22.65,13.93,100.0,63.65,,,,,,,,,,,,
2011-05-21,22.57,15.55,99.8,75.71,,,,,,,,,,,,
2011-05-22,24.59,16.13,100.0,68.07,,,,,,,,,,,,
2011-05-23,26.21,13.91,100.0,61.36,,,,,,,,,,,,
2011-05-24,27.81,15.88,100.0,61.13,,,,,,,,,,,,
2011-05-25,22.55,18.8,99.4,85.8,,,,,,,,,,,,
2011-05-26,26.06,17.25,100.0,64.37,,,,,,,,,,,,
2011-05-27,25.63,16.04,100.0,71.1,,,,,,,,,,,,
2011-05-28,23.15,15.34,99.2,57.03,,,,,,,,,,,,
2011-05-29,22.44,9.21,100.0,42.69,,,,,,,,,,,,
2011-05-30,22.39,6.592,100.0,41.29,,,,,,,,,,,,
2011-05-31,22.5,6.753,100.0,40.1,,,,,,,,,,,,
2011-06-01,22.9,8.91,100.0,46.58,,,,,,,,,,,,
2011-06-02,22.72,7.804,100.0,47.96,,,,,,,,,,,,
2011-06-03,22.97,10.2,100.0,60.41,,,,,,,,,,,,
2011-06-04,24.39,10.83,100.0,60.07,,,,,,,,,,,,
2011-06-05,22.26,7.561,100.0,37.7,,,,,,,,,,,,
2011-06-06,21.33,4.624,100.0,40.37,,,,,,,,,,,,
