date,code,station,temp,umid,ws,wd,prec
2020-10-07 19:00:00,aeroporto,Aeroporto SBJV,21.0,94.01,4.62673223066607,140.0,
2020-10-07 20:00:00,aeroporto,Aeroporto SBJV,21.0,94.01,2.05632543585159,160.0,
2020-10-07 21:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-07 22:00:00,aeroporto,Aeroporto SBJV,21.0,94.01,3.08448815377738,190.0,
2020-10-07 23:00:00,aeroporto,Aeroporto SBJV,21.0,100.0,3.59856951274028,320.0,
2020-10-08 00:00:00,aeroporto,Aeroporto SBJV,20.0,100.0,3.59856951274028,200.0,
2020-10-08 01:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-08 02:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-08 03:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-08 04:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-08 05:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-08 06:00:00,aeroporto,Aeroporto SBJV,20.0,100.0,1.02816271792579,90.0,
2020-10-08 07:00:00,aeroporto,Aeroporto SBJV,20.0,100.0,1.02816271792579,170.0,
2020-10-08 08:00:00,aeroporto,Aeroporto SBJV,20.0,100.0,2.05632543585159,160.0,
2020-10-08 09:00:00,aeroporto,Aeroporto SBJV,21.0,88.34,2.05632543585159,200.0,
2020-10-08 10:00:00,aeroporto,Aeroporto SBJV,20.0,93.97,3.59856951274028,170.0,
2020-10-08 11:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-08 12:00:00,aeroporto,Aeroporto SBJV,21.0,94.01,2.57040679481448,150.0,
2020-10-08 13:00:00,aeroporto,Aeroporto SBJV,21.0,94.01,2.57040679481448,110.0,
2020-10-08 14:00:00,aeroporto,Aeroporto SBJV,20.0,100.0,3.08448815377738,140.0,
2020-10-08 15:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-08 16:00:00,aeroporto,Aeroporto SBJV,20.0,93.97,3.59856951274028,120.0,
2020-10-08 17:00:00,aeroporto,Aeroporto SBJV,20.0,93.97,4.11265087170317,120.0,
2020-10-08 18:00:00,aeroporto,Aeroporto SBJV,19.0,93.92,3.59856951274028,130.0,
2020-10-08 19:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-08 20:00:00,aeroporto,Aeroporto SBJV,19.0,93.92,2.57040679481448,100.0,
2020-10-08 21:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-08 22:00:00,aeroporto,Aeroporto SBJV,19.0,93.92,1.54224407688869,150.0,
2020-10-08 23:00:00,aeroporto,Aeroporto SBJV,19.0,93.92,2.57040679481448,310.0,
2020-10-09 00:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-09 01:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-09 02:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-09 03:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-09 04:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-09 05:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-09 06:00:00,aeroporto,Aeroporto SBJV,18.0,100.0,1.54224407688869,200.0,
2020-10-09 07:00:00,aeroporto,Aeroporto SBJV,18.0,100.0,1.02816271792579,200.0,
2020-10-09 08:00:00,aeroporto,Aeroporto SBJV,18.0,100.0,1.02816271792579,270.0,
2020-10-09 09:00:00,aeroporto,Aeroporto SBJV,18.0,100.0,1.54224407688869,310.0,
2020-10-09 10:00:00,aeroporto,Aeroporto SBJV,18.0,100.0,2.05632543585159,190.0,
2020-10-09 11:00:00,aeroporto,Aeroporto SBJV,18.0,100.0,2.05632543585159,270.0,
2020-10-09 12:00:00,aeroporto,Aeroporto SBJV,18.0,100.0,1.54224407688869,300.0,
2020-10-09 13:00:00,aeroporto,Aeroporto SBJV,19.0,93.92,1.54224407688869,180.0,
2020-10-09 14:00:00,aeroporto,Aeroporto SBJV,19.0,93.92,1.54224407688869,40.0,
2020-10-09 15:00:00,aeroporto,Aeroporto SBJV,19.0,93.92,2.57040679481448,330.0,
2020-10-09 16:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-09 17:00:00,aeroporto,Aeroporto SBJV,19.0,93.92,2.05632543585159,160.0,
2020-10-09 18:00:00,aeroporto,Aeroporto SBJV,19.0,93.92,3.08448815377738,330.0,
2020-10-09 19:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-09 20:00:00,aeroporto,Aeroporto SBJV,19.0,93.92,3.59856951274028,190.0,
2020-10-09 21:00:00,aeroporto,Aeroporto SBJV,18.0,100.0,2.05632543585159,170.0,
2020-10-09 22:00:00,aeroporto,Aeroporto SBJV,18.0,100.0,1.54224407688869,170.0,
2020-10-09 23:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-10 00:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-10 01:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-10 02:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-10 03:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-10 04:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-10 05:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-10 06:00:00,aeroporto,Aeroporto SBJV,15.0,100.0,2.05632543585159,320.0,
2020-10-10 07:00:00,aeroporto,Aeroporto SBJV,,,,,
