station,kind,date,raw_prec,reason
aguasdejoi,hourly,2022-04-03 04:00:00,254.0,inch_code
aguasdejoi,hourly,2022-04-03 09:00:00,254.0,inch_code
aguasdejoi,hourly,2022-04-03 10:00:00,254.0,inch_code
aguasdejoi,hourly,2022-04-03 15:00:00,254.0,inch_code
aguasdejoi,hourly,2022-04-03 16:00:00,254.0,inch_code
aguasdejoi,hourly,2022-04-03 19:00:00,254.0,inch_code
aguasdejoi,hourly,2022-04-03 20:00:00,254.0,inch_code
aguasdejoi,hourly,2022-04-04 20:00:00,254.0,inch_code
aguasdejoi,hourly,2022-04-05 22:00:00,254.0,inch_code
aguasdejoi,hourly,2022-04-06 01:00:00,254.0,inch_code
aguasdejoi,hourly,2022-04-06 04:00:00,254.0,inch_code
aguasdejoi,hourly,2022-04-06 08:00:00,254.0,inch_code
aguasdejoi,hourly,2022-04-06 23:00:00,254.0,inch_code
aguasdejoi,hourly,2022-04-07 03:00:00,254.0,inch_code
aguasdejoi,hourly,2022-04-08 00:00:00,254.0,inch_code
aguasdejoi,hourly,2022-04-08 17:00:00,254.0,inch_code
aguasdejoi,hourly,2022-04-10 21:00:00,254.0,inch_code
aguasdejoi,hourly,2022-04-12 16:00:00,254.0,inch_code
aguasdejoi,hourly,2022-04-14 06:00:00,254.0,inch_code
aguasdejoi,hourly,2022-04-14 07:00:00,254.0,inch_code
aguasdejoi,hourly,2022-04-18 03:00:00,254.0,inch_code
aguasdejoi,hourly,2022-04-18 15:00:00,254.0,inch_code
aguasdejoi,hourly,2022-04-22 00:00:00,254.0,inch_code
aguasdejoi,hourly,2022-04-23 02:00:00,254.0,inch_code
aguasdejoi,hourly,2022-04-23 03:00:00,254.0,inch_code
aguasdejoi,hourly,2022-04-25 04:00:00,254.0,inch_code
aguasdejoi,hourly,2022-05-01 07:00:00,254.0,inch_code
aguasdejoi,hourly,2022-05-01 17:00:00,254.0,inch_code
aguasdejoi,hourly,2022-05-01 18:00:00,254.0,inch_code
aguasdejoi,hourly,2022-05-02 02:00:00,254.0,inch_code
aguasdejoi,hourly,2022-05-02 04:00:00,254.0,inch_code
aguasdejoi,hourly,2022-05-02 06:00:00,254.0,inch_code
aguasdejoi,hourly,2022-05-02 10:00:00,254.0,inch_code
aguasdejoi,hourly,2022-05-02 13:00:00,254.0,inch_code
aguasdejoi,hourly,2022-05-02 15:00:00,254.0,inch_code
aguasdejoi,hourly,2022-05-02 16:00:00,254.0,inch_code
aguasdejoi,hourly,2022-05-03 06:00:00,254.0,inch_code
aguasdejoi,hourly,2022-05-03 07:00:00,254.0,inch_code
aguasdejoi,hourly,2022-05-03 08:00:00,254.0,inch_code
aguasdejoi,hourly,2022-05-03 09:00:00,254.0,inch_code
aguasdejoi,hourly,2022-05-04 00:00:00,254.0,inch_code
aguasdejoi,hourly,2022-05-04 01:00:00,254.0,inch_code
aguasdejoi,hourly,2022-05-04 02:00:00,254.0,inch_code
aguasdejoi,hourly,2022-05-04 06:00:00,254.0,inch_code
aguasdejoi,hourly,2022-05-04 17:00:00,254.0,inch_code
aguasdejoi,hourly,2022-05-04 20:00:00,254.0,inch_code
aguasdejoi,hourly,2022-05-05 01:00:00,254.0,inch_code
aguasdejoi,hourly,2022-05-05 03:00:00,254.0,inch_code
aguasdejoi,hourly,2022-05-09 04:00:00,254.0,inch_code
aguasdejoi,hourly,2022-05-09 05:00:00,254.0,inch_code
aguasdejoi,hourly,2022-05-09 07:00:00,254.0,inch_code
aguasdejoi,hourly,2022-05-09 16:00:00,254.0,inch_code
aguasdejoi,hourly,2022-05-10 02:00:00,254.0,inch_code
aguasdejoi,hourly,2022-05-10 06:00:00,254.0,inch_code
aguasdejoi,hourly,2022-05-10 19:00:00,254.0,inch_code
aguasdejoi,hourly,2022-05-10 21:00:00,254.0,inch_code
aguasdejoi,hourly,2022-05-30 14:00:00,254.0,inch_code
aguasdejoi,hourly,2022-05-31 01:00:00,254.0,inch_code
aguasdejoi,hourly,2022-05-31 02:00:00,254.0,inch_code
aguasdejoi,hourly,2022-05-31 03:00:00,254.0,inch_code
aguasdejoi,hourly,2022-05-31 05:00:00,254.0,inch_code
aguasdejoi,hourly,2022-05-31 20:00:00,254.0,inch_code
aguasdejoi,hourly,2022-06-01 08:00:00,254.0,inch_code
aguasdejoi,hourly,2022-06-02 22:00:00,254.0,inch_code
aguasdejoi,hourly,2022-06-03 01:00:00,254.0,inch_code
aguasdejoi,hourly,2022-06-03 03:00:00,254.0,inch_code
aguasdejoi,hourly,2022-06-03 08:00:00,254.0,inch_code
aguasdejoi,hourly,2022-06-05 05:00:00,254.0,inch_code
aguasdejoi,hourly,2022-06-05 07:00:00,254.0,inch_code
ceasa,daily,2025-01-14,254.0,inch_code
ceasa,daily,2025-01-24,254.0,inch_code
ceasa,daily,2025-03-29,254.0,inch_code
ceasa,daily,2025-04-07,254.0,inch_code
ceasa,daily,2025-05-27,254.0,inch_code
ceasa,daily,2025-05-31,254.0,inch_code
ceasa,daily,2025-09-11,254.0,inch_code
