date,gauge,rain_mm
2021-06-06,aventureiro,0.0
2021-06-07,aventureiro,30.18
2021-06-08,aventureiro,11.88
2021-06-09,aventureiro,6.92
2021-06-10,aventureiro,0.0
2021-06-11,aventureiro,0.0
2021-06-12,aventureiro,0.0
2021-06-13,aventureiro,0.0
2021-06-14,aventureiro,0.0
2021-06-15,aventureiro,0.0
2021-06-16,aventureiro,0.2
2021-06-17,aventureiro,0.0
2021-06-18,aventureiro,1.78
2021-06-19,aventureiro,39.94
2021-06-20,aventureiro,7.720000000000001
2021-06-21,aventureiro,0.6000000000000001
2021-06-22,aventureiro,2.8000000000000003
2021-06-23,aventureiro,0.0
2021-06-24,aventureiro,0.4
2021-06-25,aventureiro,0.4
2021-06-26,aventureiro,2.8000000000000003
2021-06-28,aventureiro,3.4000000000000004
2021-06-29,aventureiro,6.4
2021-06-30,aventureiro,1.2000000000000002
2021-07-01,aventureiro,0.0
2021-07-02,aventureiro,0.0
2021-07-03,aventureiro,0.0
2021-07-04,aventureiro,0.0
2021-07-05,aventureiro,0.0
2021-07-06,aventureiro,1.6
2021-07-07,aventureiro,2.0
2021-07-08,aventureiro,0.0
2021-07-10,aventureiro,0.0
2021-07-11,aventureiro,0.0
2021-07-12,aventureiro,0.0
2021-07-16,aventureiro,8.97
2021-07-17,aventureiro,3.99
2021-07-27,aventureiro,9.33
2021-07-28,aventureiro,0.4
2021-08-02,aventureiro,1.6
2021-08-03,aventureiro,0.0
2021-08-05,aventureiro,1.0
2021-08-07,aventureiro,0.4
2021-08-09,aventureiro,0.4
2021-08-11,aventureiro,0.4
2021-08-12,aventureiro,0.4
2021-08-13,aventureiro,4.6000000000000005
2021-08-14,aventureiro,5.2
2021-08-15,aventureiro,5.0
2021-08-16,aventureiro,5.4
2021-08-17,aventureiro,4.4
2021-08-18,aventureiro,1.2000000000000002
2021-08-23,aventureiro,1.6
2021-08-28,aventureiro,0.2
2021-08-29,aventureiro,0.2
2021-08-30,aventureiro,0.2
2021-08-31,aventureiro,0.2
2021-09-01,aventureiro,0.2
2021-09-05,aventureiro,0.2
2021-09-07,aventureiro,0.2
2021-09-08,aventureiro,0.6000000000000001
2021-09-09,aventureiro,0.6000000000000001
2021-09-13,aventureiro,1.05
2021-09-14,aventureiro,1.58
2021-09-15,aventureiro,1.0
2021-09-16,aventureiro,22.3
2021-09-17,aventureiro,39.28
2021-09-18,aventureiro,1.5899999999999999
2021-09-20,aventureiro,0.0
2021-09-21,aventureiro,0.2
2021-09-22,aventureiro,0.2
2021-09-23,aventureiro,0.0
2021-09-26,aventureiro,0.0
2021-09-27,aventureiro,0.0
2021-09-28,aventureiro,0.0
2021-09-29,aventureiro,30.83
2021-09-30,aventureiro,2.37
2021-10-01,aventureiro,16.34
2021-10-02,aventureiro,1.0
2021-10-03,aventureiro,4.58
2021-10-04,aventureiro,8.52
2021-10-05,aventureiro,1.8
2021-10-06,aventureiro,6.1
2021-10-07,aventureiro,0.6000000000000001
2021-10-08,aventureiro,0.0
2021-10-09,aventureiro,14.040000000000001
2021-10-10,aventureiro,4.37
2021-10-11,aventureiro,11.520000000000001
2021-10-12,aventureiro,4.38
2021-10-13,aventureiro,1.79
2021-10-14,aventureiro,0.0
2021-10-15,aventureiro,20.47
2021-10-16,aventureiro,1.58
2021-10-17,aventureiro,17.36
2021-10-18,aventureiro,9.700000000000001
2021-10-19,aventureiro,8.13
2021-10-20,aventureiro,0.2
2021-10-21,aventureiro,0.4
2021-10-22,aventureiro,0.0
2021-10-23,aventureiro,1.79
2021-10-24,aventureiro,1.6
2021-10-25,aventureiro,0.0
2021-10-26,aventureiro,0.0
2021-10-27,aventureiro,0.0
2021-10-28,aventureiro,0.8
2021-10-29,aventureiro,5.74
