Data/Hora,Causa,Tipo,Desabrigados,Bairros,Situação;
"17 de jan. de 2018, 06:00:00,167mm em 6h,Chuvas Intensas,21,""Adhemar Garcia, América, Anita Garibaldi, Atiradores, Aventureiro, Boa Vista, Boehmerwald, Bom Retiro, Bucarein, Centro, Comasa, Costa e Silva, Dona Francisca, Espinheiros, Fátima, Floresta, Glória, Guanabara, iririú, Itaum, Itinga, Jardim Iririú, Jardim Paraíso, Jardim Sophia, Jarivatuba, João Costa, Morro do Meio, Nova Brasília, Paranaguamirim, Parque Guarani, Petrópolis, Pirabeiraba, Profipo, Rio Bonito, Saguaçu, Santa Catarina, Santo Antônio, São Marcos, Ulysses Guimarães, Vila Cubatão, Vila Nova, Zona Industrial Norte, Zona Industrial Tupy, Zona Rural"",""Emergência reconhecida pela Portaria - Com Emenda Nº 33, de 07 de fevereiro de 2018""";
"15 de mar. de 2019, 01:00:00,147mm em 7h,Chuvas Intensas,0,""Adhemar Garcia, América, Anita Garibaldi, Atiradores, Aventureiro, Boa Vista, Boehmerwald, Bom Retiro, Bucarein, Centro, Comasa, Costa e Silva, Dona Francisca, Espinheiros, Fátima, Floresta, Glória, Guanabara, iririú, Jarivatuba, Pirabeiraba, Paranaguamirim, Jardim Iririú, Santo Antonio, Nova Brasília, Morro do Meio, João Costa, Saguaçu, Santa Catarina, Vila Cubatão, Vila Nova, São Marcos, Ulysses Guimarães, Parque Guarani, Petrópolis, Rio Bonito, Profipo, Zona Industrial Norte, Zona Industrial Tupy, Itaum, Jardim Sofia, Jardim Paraíso, Itinga, Zona Rural"",""Emergência reconhecida pela Portaria Nº 1043, de 28 de março de 2024 Portaria Nº 1172, de 08 de maio de 2019""";
"9 de fev. de 2020, 17:00:00,""400mm em 5 dias, 100mm no dia 07/02/2020 e 87 mm no dia 09/02/2020"",Chuvas Intensas,2,""Pirabeiraba, Rio Bonito, Jardim Sofia, Jardim Paraíso, Vila Nova, Morro do Meio, Nova Brasília, Santa Catarina, Atiradores, Floresta, Itaum, Petrópolis, Boehmerwald, Profipo, Boa Vista, Guanabara, Fátima, Jarivatuba, João Costa, Parque Guarani, Paranaguamirim, Costa e Silva, Santo Antônio, Bom Retiro, Saguaçu, iririú, America, Glória, Centro, Anita Garibaldi, Bucarein, Aventureiro, Jardim Iririú, Comasa, Zona Rural"",Normalidade";
"18 de mar. de 2020, 07:00:00,COVID19,Doenças infecciosas virais,0,""Adhemar Garcia, América, Anita Garibaldi, Atiradores, Aventureiro, Boa Vista, Boehmerwald, Bom Retiro, Bucarein, Centro, Comasa, Costa e Silva, Dona Francisca, Espinheiros, Fátima, Zona Industrial Tupy, Zona Industrial Norte, Vila Nova, Vila Cubatão, Ulysses Guimarães, São Marcos, Santo Antônio, Santa Catarina, Profipo, Morro do Meio, Parque Guarani, Rio Bonito, Saguaçu, iririú, Jardim Iririú, Jardim Paraíso, Jardim Sofia, Jarivatuba, João Costa, Nova Brasília, Petrópolis, Itaum, Itinga, Guanabara, Glória, Floresta, Pirabeiraba, Paranaguamirim, Zona Rural"",Emergência reconhecida pelo decreto Nº 515 de 17 de março de 2020";
"30 de jun. de 2020, 16:00:00,Ventos de 120km/h,Vendaval,0,""Adhemar Garcia, América, Anita Garibaldi, Atiradores, Aventureiro, Boa Vista, Boehmerwald, Bom Retiro, Zona Industrial Tupy, Zona Industrial Norte, Vila Nova, Vila Cubatão, Ulysses Guimarães, São Marcos, Santo Antônio, Santa Catarina, Saguaçu, Profipo, Rio Bonito, Pirabeiraba, Petrópolis, Parque Guarani, Paranaguamirim, Nova Brasília, Morro do Meio, João Costa, Jarivatuba, Jardim Sofia, Jardim Paraíso, Jardim Iririú, Itinga, Itaum, iririú, Guanabara, Glória, Floresta, Centro, Fátima, Costa e Silva, Espinheiros, Comasa, Dona Francisca, Bucarein, Zona Rural"",""Estado de calamidade pública reconhecido pelo decreto Nº 700, de 2 de julho de 2020""";
"7 de dez. de 2020, 04:00:00,200mm em 3 dias,Chuvas Intensas,0,""Paranaguamirim, Santo Antônio, Rio Bonito, Vila Nova, Petropolis, Nova Brasília, São Marcos"",Normalidade";
"1 de jan. de 2021, 03:00:00,""90mm em 1h , 169mm em 6h"",Chuvas Intensas,0,""Costa e Silva, Zona Industrial Norte, Santo Antônio, Bom Retiro, Saguaçu, iririú, America, Glória, Atiradores, Centro, Anita Garibaldi, Bucarein, Santa Catarina, Floresta, Itaum, Guanabara, Aventureiro, Jardim Iririú, Comasa, Espinheiros, Boa Vista, Nova Brasília, Vila Nova, Morro do Meio, Jardim Sofia, Jardim Paraíso, Itinga, Paranaguamirim, Ulysses Guimarães, Zona Rural"",""Emergência reconhecida pela Portaria Nº 133, de 25 de janeiro de 2021";
"
4 de jan. de 2021, 14:00:00"",""43mm em 50min "",Alagamentos,0,""Centro, Anita Garibaldi, Glória, Atiradores"",Normalidade";
"15 de fev. de 2021, 14:00:00,37 mm/h,Chuvas Intensas,0,""Anita Garibaldi, Centro, Saguaçu, Ulysses Guimarães, America, Floresta, Jarivatuba, Costa e Silva, Itaum"",Normalidade";
"14 de mar. de 2021, 10:00:00,""Chuva Registrada:Itaum 80mm/h. Nível registrado: Flot-Flux:+2,5m";" "",Chuvas Intensas,0,""Costa e Silva, Santo Antônio, Bom Retiro, Centro, América, Saguaçu, São Marcos, Nova Brasília, Anita Garibaldi, Glória, Floresta, Itaum, Petrópolis, Boehmerwald, Profipo, Guanabara, Fátima, Comasa, Boa Vista, Jardim Iririu, Santa Catarina, iririú, Espinheiros, Aventureiro, Pirabeiraba, Paranaguamirim, Rio Bonito, Adhemar Garcia, Parque Guarani, João Costa, Jarivatuba"",Normalidade"
